GWUB,"Atraxa, Praetors' Voice",27599
WUBRG,"The Ur-Dragon",19061
BG,"Lathril, Blade of the Elves",18473
UB,"Yuriko, the Tiger's Shadow",17880
RWB,"Isshin, Two Heavens as One",17446
UB,"Wilhelt, the Rotcleaver",17352
GUR,"Miirym, Sentinel Wyrm",16525
WUBRG,"Kenrith, the Returned King",16496
RWB,"Edgar Markov",16158
WU,"Shorikai, Genesis Engine",14730
R,"Krenko, Mob Boss",14718
BR,"Prosper, Tome-Bound",14611
WUBRG,"Go-Shintai of Life's Origin",14547
BRG,"Korvold, Fae-Cursed King",13784
WUBRG,"Esika, God of the Tree",13666
RWB,"Kaalia of the Vast",13640
BGU,"Muldrotha, the Gravetide",13244
WUBRG,"Jodah, the Unifier",13187
GWU,"Arcades, the Strategist",12610
RGWU,"Omnath, Locus of Creation",12559
RGW,"Gishath, Sun's Avatar",12407
BG,"Chatterfang, Squirrel General",12357
GUR,"Animar, Soul of Elements",12046
UBR,"Nekusar, the Mindrazer",12000
BG,"Meren of Clan Nel Toth",11408
W,"Giada, Font of Hope",11367
WUBR,"Breya, Etherium Shaper",11246
RGW,"Atla Palani, Nest Tender",11190
WB,"Teysa Karlov",11050
GW,"Sythis, Harvest's Hand",10993
WUB,"Alela, Artful Provocateur",10577
RWB,"Queen Marchesa",10034
RGW,"Rin and Seri, Inseparable:",10034
RG,"Tovolar, Dire Overlord:",10004
UR,"Niv-Mizzet, Parun",9999
BRG,"Henzie "Toolbox" Torre",9929
B,"K'rrik, Son of Yawgmoth",9821
UB,"Satoru Umezawa",9694
WUB,"Oloro, Ageless Ascetic",9518
WUBRG,"Sisay, Weatherlight Captain",9515
BGU,"Yarok, the Desecrated",9458
UB,"Captain N'ghathrod",9411
UR,"Ghyrson Starn, Kelermorph",9090
U,"Urza, Lord High Artificer",9026
BGU,"Zaxara, the Exemplary",8798
WUB,"Zur the Enchanter",8783
GU,"Aesi, Tyrant of Gyre Strait",8733
WB,"Liesa, Shroud of Dusk",8678
WUBRG,"Najeela, the Blade-Blossom",8589
URW,"Hinata, Dawn-Crowned",8561
URW,"Kykar, Wind's Fury",8513
RGW,"Jetmir, Nexus of Revels",8196
WUB,"Tivit, Seller of Secrets",8161
UB,"The Scarab God",8154
R,"Magda, Brazen Outlaw",8111
UR,"Veyran, Voice of Duality",8072
WUBRG,"Morophon, the Boundless",8018
RW,"Feather, the Redeemed",7945
WUB,"Sefris of the Hidden Ways",7940
WUBRG,"The First Sliver",7800
WUBRG,"Jodah, Archmage Eternal",7766
UBR,"Marchesa, the Black Rose",7707
U,"Orvar, the All-Form",7702
RW,"Winota, Joiner of Forces",7685
W,"Light-Paws, Emperor's Voice",7676
GU,"Kinnan, Bonder Prodigy",7658
BRG,"Lord Windgrace",7588
WU,"Brago, King Eternal",7529
WUB,"Urza, Chief Artificer",7477
WBG,"Myrkul, Lord of Bones",7467
B,"Marrow-Gnawer",7359
WUBRG,"Urtet, Remnant of Memnarch",7331
RW,"Osgir, the Reconstructor",7277
UBR,"Sauron, the Dark Lord",7257
UB,"Anowon, the Ruin Thief",7244
UBR,"Kess, Dissident Mage",7221
GU,"Volo, Guide to Monsters",7155
RWB,"Syr Gwyn, Hero of Ashvale",7090
UBR,"Obeka, Brute Chronologist",7059
BG,"Dina, Soul Steeper",7054
WUB,"Raffine, Scheming Seer",7052
UBR,"Anhelo, the Painter",7017
WUBRG,"Ramos, Dragon Engine",6951
B,"Tergrid, God of Fright",6893
GWUB,"Atraxa, Grand Unifier",6864
GWU,"Chulane, Teller of Tales",6780
G,"Fynn, the Fangbearer",6676
B,"Sheoldred, the Apocalypse",6665
WUBRG,"Omnath, Locus of All",6655
RGWU,"Aragorn, the Uniter",6593
WU,"Millicent, Restless Revenant",6584
BRG,"Ziatora, the Incinerator",6576
WBG,"Thalia and The Gitrog Monster",6499
c,"Kozilek, the Great Distortion",6493
BGU,"Tatsunari, Toad Rider",6430
WUB,"Sidar Jabari of Zhalfir",6420
GWU,"Galea, Kindler of Hope",6389
GUR,"Kalamax, the Stormsire",6364
UBR,"Be'lakor, the Dark Master",6301
WUBRG,"Tom Bombadil",6273
GU,"Ivy, Gleeful Spellthief",6190
WUBRG,"Tiamat",6125
GUR,"Magus Lucea Kane",6124
RGWU,"Kynaios and Tiro of Meletis",6011
UB,"Toxrill, the Corrosive",5997
RWB,"Dihada, Binder of Wills",5992
GU,"Adrix and Nev, Twincasters",5976
UR,"Jhoira, Weatherlight Captain",5971
WUB,"Marneus Calgar",5955
UBR,"Admiral Beckett Brass",5954
RG,"Omnath, Locus of Rage",5934
UB,"Umbris, Fear Manifest",5927
WUB,"Aminatou, the Fateshifter",5793
GUR,"Xyris, the Writhing Storm",5792
WUBRG,"Sliver Overlord",5749
BR,"Strefan, Maurer Progenitor",5699
WBG,"Frodo, Adventurous Hobbit",5676
UBRG,"Yidris, Maelstrom Wielder",5617
WUB,"Varina, Lich Queen",5606
BR,"Rakdos, Lord of Riots",5571
GU,"Kumena, Tyrant of Orazca",5550
c,"Zhulodok, Void Gorger",5523
GW,"Kyler, Sigardian Emissary",5438
RG,"Chishiro, the Shattered Blade",5425
RWB,"Alesha, Who Smiles at Death",5396
UB,"Runo Stromkirk",5386
UBR,"Nicol Bolas, the Ravager",5372
WUB,"Queza, Augur of Agonies",5361
UBR,"Inalla, Archmage Ritualist",5349
R,"Zada, Hedron Grinder",5340
RW,"Ardenn, Intrepid Archaeologist",5335
URW,"Narset, Enlightened Master",5327
BG,"The Gitrog Monster",5326
WBG,"Ghave, Guru of Spores",5299
BGU,"Tasigur, the Golden Fang",5282
UB,"Phenax, God of Deception",5257
URW,"Zedruu the Greathearted",5244
RG,"Raggadragga, Goreguts Boss",5179
B,"Yawgmoth, Thran Physician",5169
UBR,"Lynde, Cheerful Tormentor",5168
GWU,"Derevi, Empyrial Tactician",5140
BRGW,"Saskia the Unyielding",5132
WBG,"Nethroi, Apex of Death",5131
R,"Torbran, Thane of Red Fell",5130
WUBRG,"Codie, Vociferous Codex",5078
GU,"Ezuri, Claw of Progress",5058
WB,"Athreos, God of Passage",5049
GWU,"Tuvasa the Sunlit",5029
GUR,"Haldan, Avid Arcanist",4973
UB,"Jon Irenicus, Shattered One",4969
G,"Ayula, Queen Among Bears",4958
UB,"Tasha, the Witch Queen",4954
RG,"Kibo, Uktabi Prince",4937
UR,"The Locust God",4905
BR,"Anje Falkenrath",4902
WU,"Grand Arbiter Augustin IV",4883
RG,"Faldorn, Dread Wolf Herald",4882
UB,"Lord of the Nazgûl",4831
G,"Marwyn, the Nurturer",4810
RGW,"Jinnie Fay, Jetmir's Second",4775
BG,"Skullbriar, the Walking Grave",4752
B,"Braids, Arisen Nightmare",4747
BRG,"Yurlok of Scorch Thrash",4734
BGU,"The Mimeoplasm",4727
GW,"Arahbo, Roar of the World",4726
URW,"Elsha of the Infinite",4709
GUR,"Riku of Two Reflections",4709
RGW,"Rocco, Cabaretti Caterer",4695
UBR,"Mishra, Eminent One",4680
GU,"Lonis, Cryptozoologist",4679
RWB,"Extus, Oriq Overlord",4669
BG,"Grist, the Hunger Tide",4644
WBG,"Karador, Ghost Chieftain",4644
WB,"Elas il-Kor, Sadistic Pilgrim",4620
BGU,"Sidisi, Brood Tyrant",4620
U,"Talrand, Sky Summoner",4538
BGU,"Kadena, Slinking Sorcerer",4515
GU,"Tatyova, Benthic Druid",4514
GWU,"Falco Spara, Pactweaver",4493
GUR,"Maelstrom Wanderer",4488
U,"Minn, Wily Illusionist",4469
WUBRG,"Reaper King",4461
UR,"Brudiclad, Telchor Engineer",4458
W,"Elesh Norn, Mother of Machines",4429
G,"Omnath, Locus of Mana",4423
UR,"Okaun, Eye of Chaos",4409
BG,"Shelob, Child of Ungoliant",4392
